Tweet ID,Sent when,Sent by whom,Data source,In reply to what tweet,text
809482606341423104,2016-12-15 19:37:47,NastyTheresa Kentner,<tweepy.api.API object at 0x7f2ecbdf1c50>,809477545259401217,@WintanaMN Just what I thought!  So Twitter DOES get better response!
809430645386706944,2016-12-15 16:11:19,NastyTheresa Kentner,<tweepy.api.API object at 0x7f2ecbdf1c50>,805864464033738757,@justjudyanne @WintanaMN Hey @MinneapolisPD What's your response time on something like that?
809427367626240000,2016-12-15 15:58:17,CallMeWin,<tweepy.api.API object at 0x7f2ecbdf1c50>,,"RT @thenewfem: HUGE story @myfox9 @kare11 @WCCO, this person @WintanaMN witnessed a Swastika on a home in Northern Minneapolis https://t.co…"
809420415189786624,2016-12-15 15:30:39,Eddie,<tweepy.api.API object at 0x7f2ecbdf1c50>,809264720784068608,@WintanaMN did you peep it ?
809415285006548992,2016-12-15 15:10:16,DJTwittinBunk,<tweepy.api.API object at 0x7f2ecbdf1c50>,805855050698395648,@thenewfem @MyFOX9 @kare11 @WCCO @WintanaMN And ... let's not forget ... https://t.co/6tZZOtZhJB
809365720257728513,2016-12-15 11:53:19,Jeanne Poremba,<tweepy.api.API object at 0x7f2ecbdf1c50>,,@WintanaMN https://t.co/UPTpuo1E0Y
809264605205774336,2016-12-15 05:11:31,Duragbi™,<tweepy.api.API object at 0x7f2ecbdf1c50>,,Wow! @WintanaMN is amazing!
809240994222919690,2016-12-15 03:37:42,more jollof rice plz,<tweepy.api.API object at 0x7f2ecbdf1c50>,808917127646375936,@WintanaMN @little_Goon 🤔👀
809193985914863617,2016-12-15 00:30:54,meia,<tweepy.api.API object at 0x7f2ecbdf1c50>,,RT @WintanaMN: It's Black and Brown women who sweep the floors after white women break glass ceilings.
809175809588133893,2016-12-14 23:18:41,-_-,<tweepy.api.API object at 0x7f2ecbdf1c50>,,RT @JayWonVo: @WintanaMN @mrotzie again with the false flags https://t.co/IewsU01SFA
809175482482753537,2016-12-14 23:17:23,-_-,<tweepy.api.API object at 0x7f2ecbdf1c50>,,RT @elime94: @TheFactualGamer @schirber @WintanaMN @mrotzie reminds me of this black man in Philadelphia that drew swastikas https://t.co/z…
809170923035258881,2016-12-14 22:59:16,１９１６,<tweepy.api.API object at 0x7f2ecbdf1c50>,809170064628940800,"@mrotzie @WintanaMN By the way, why did you say that garden shed was a ""home""?"
809170446633598976,2016-12-14 22:57:22,１９１６,<tweepy.api.API object at 0x7f2ecbdf1c50>,809169471571165185,"@mrotzie @WintanaMN Did you make the black girl draw the swastika? That's racial profiling, hun."
809170064628940800,2016-12-14 22:55:51,mrotzie,<tweepy.api.API object at 0x7f2ecbdf1c50>,809166899334488064,@PepeWillsItV2 @WintanaMN I've already given you too much energy. Scoot now.
809169471571165185,2016-12-14 22:53:30,mrotzie,<tweepy.api.API object at 0x7f2ecbdf1c50>,809166899334488064,"@PepeWillsItV2 @WintanaMN Aw, you do try, though."
